EMAIL,FIRSTNAME,LASTNAME,PASSWORD,REASON
gpamphilon0@ovh.net,,,7.138.237.114,Duplicate email in database
dlowne1@ovh.net,,,4.148.234.192,Duplicate email in database
aadamiec2@i2i.jp,,,211.173.76.245,Duplicate email in database
lanan3@soundcloud.com,,,26.246.142.210,Duplicate email in database
vsimcox4@gizmodo.com,,,13.111.26.109,Duplicate email in database
mhaville5@wikimedia.org,,,125.48.16.223,Duplicate email in database
rfibbitts6@epa.gov,,,255.65.237.25,Duplicate email in database
bworvell7@arizona.edu,,,179.138.186.85,Duplicate email in database
jradbond8@prlog.org,,,148.227.191.159,Duplicate email in database
mswinfon9@mapy.cz,,,188.170.227.100,Duplicate email in database
kkelfa@fda.gov,,,237.124.239.234,Duplicate email in database
jgorstidgeb@paypal.com,,,230.247.242.79,Duplicate email in database
lblosec@elegantthemes.com,,,36.244.218.120,Duplicate email in database
amustond@google.com,,,25.90.78.152,Duplicate email in database
lvassere@examiner.com,,,17.196.13.145,Duplicate email in database
slettenf@pbs.org,,,177.159.69.186,Duplicate email in database
gpeekg@posterous.com,,,178.104.103.251,Duplicate email in database
mkillbyh@ning.com,,,17.236.53.237,Duplicate email in database
xmaini@symantec.com,,,73.183.191.203,Duplicate email in database
kolahyj@ibm.com,,,143.102.202.136,Duplicate email in database
ginnotk@skyrock.com,,,208.14.207.177,Duplicate email in database
fandrassyl@toplist.cz,,,8.217.244.211,Duplicate email in database
jseggiem@globo.com,,,2.39.78.247,Duplicate email in database
srolesn@unc.edu,,,177.234.121.100,Duplicate email in database
abelwardo@cbslocal.com,,,94.209.104.236,Duplicate email in database
kvickerstaffp@tripod.com,,,62.20.75.248,Duplicate email in database
kpithieq@wikispaces.com,,,138.213.124.177,Duplicate email in database
wmillhillr@flavors.me,,,148.135.46.92,Duplicate email in database
shutleys@cisco.com,,,8.120.179.119,Duplicate email in database
tsymmonst@shutterfly.com,,,66.243.135.253,Duplicate email in database
smacredmondu@loc.gov,,,3.54.143.162,
mroggerv@gov.uk,,,65.160.72.200,
mhedmanw@intel.com,,,81.66.133.208,
ogironex@clickbank.net,,,157.128.255.16,
marnaly@pinterest.com,,,135.33.174.96,
pmessengerz@plala.or.jp,,,111.143.73.85,
dolivo10@nymag.com,,,6.84.246.180,
fbroggini11@pinterest.com,,,76.254.103.137,
shobgen12@wired.com,,,136.202.142.12,
ogrundy13@netscape.com,,,63.162.121.92,
mbedwell14@ehow.com,,,31.9.28.103,
ecoard15@google.es,,,120.200.132.150,
rpettigree16@amazonaws.com,,,149.237.251.130,
tsimeon17@about.me,,,98.212.7.140,
gverlander18@sfgate.com,,,102.141.228.132,
cbilborough19@joomla.org,,,79.47.6.24,
charrald1a@sciencedirect.com,,,10.107.229.87,
rwinscum1b@columbia.edu,,,54.141.22.255,
sflea1c@nifty.com,,,22.181.126.187,
holey1d@bloglovin.com,,,218.250.221.99,
tlindblom1e@nbcnews.com,,,58.44.67.11,
vcurgenven1f@photobucket.com,,,203.35.85.61,
kscotti1g@huffingtonpost.com,,,149.233.6.205,
gdysert1h@sfgate.com,,,237.224.123.112,
apalk1i@networkadvertising.org,,,213.73.237.127,
gnichols1j@yellowpages.com,,,218.77.216.39,
nsurphliss1k@cbslocal.com,,,129.60.198.64,
nwiersma1l@ca.gov,,,8.173.199.245,
asiene1m@spiegel.de,,,153.239.61.123,
mbidder1n@163.com,,,92.118.184.75,
pbreache1o@seesaa.net,,,166.220.99.28,
meshmade1p@fc2.com,,,218.176.84.17,
epolon1q@youtube.com,,,171.124.17.30,
rjahn1r@scientificamerican.com,,,12.24.248.58,
jrobke1s@discovery.com,,,1.26.187.108,
ecrafter1t@github.io,,,107.72.48.50,
jbrislan1u@phpbb.com,,,233.106.177.105,
sandreichik1v@nasa.gov,,,187.88.243.58,
blillgard1w@salon.com,,,65.232.115.160,
mreily1x@cnbc.com,,,48.96.73.211,
jtreanor1y@themeforest.net,,,124.231.18.205,
cdusting1z@angelfire.com,,,100.216.225.229,
nmulhill20@google.co.uk,,,47.212.49.126,
mhedley21@jugem.jp,,,99.17.66.110,
gsherwell22@skype.com,,,15.167.121.78,
zhargie23@theglobeandmail.com,,,249.246.157.80,
rbromby24@indiatimes.com,,,169.249.137.237,
phuccaby25@miibeian.gov.cn,,,54.9.0.182,
pschubart26@deliciousdays.com,,,4.230.230.150,
nhelleker27@bigcartel.com,,,30.20.168.74,
rhaslewood28@amazonaws.com,,,127.238.240.130,
cpottery29@tumblr.com,,,215.30.75.196,
thowsden2a@mozilla.com,,,82.219.175.179,
mrappa2b@illinois.edu,,,69.86.212.39,
sbuick2c@blinklist.com,,,204.97.149.233,
srudall2d@bluehost.com,,,163.61.241.185,
mhulls2e@myspace.com,,,243.111.176.12,
gupcott2f@adobe.com,,,162.67.181.98,
kpallin2g@dailymotion.com,,,56.63.102.207,
cjencey2h@github.io,,,14.151.102.153,
pmckelvey2i@chron.com,,,199.229.127.187,
acalabry2j@xrea.com,,,127.168.50.153,
pmabbett2k@nbcnews.com,,,250.82.183.142,
ffealey2l@networksolutions.com,,,146.174.57.100,
rloving2m@boston.com,,,250.62.86.157,
rgoose2n@lulu.com,,,209.252.127.124,
kbools2o@hostgator.com,,,189.242.221.33,
bborsnall2p@oaic.gov.au,,,52.157.217.228,
dgasker2q@amazon.com,,,175.10.115.189,
cbennit2r@irs.gov,,,12.163.152.211,
kmallaby2s@webnode.com,,,207.150.72.122,
vpage2t@trellian.com,,,131.134.138.247,
amathissen2u@fastcompany.com,,,214.200.167.145,
lhamlett2v@sakura.ne.jp,,,217.93.20.173,
mbendle2w@jiathis.com,,,38.99.33.71,
kfulford2x@lulu.com,,,133.86.242.173,
relsom2y@pcworld.com,,,77.252.188.45,
pchevalier2z@mediafire.com,,,51.90.252.92,
grousby30@freewebs.com,,,185.135.148.228,
rshadrach31@skype.com,,,59.115.212.249,
mdeviney32@friendfeed.com,,,95.171.91.82,
jlokier33@t.co,,,223.16.162.228,
