EMAIL,FIRSTNAME,LASTNAME,PASSWORD,REASON
,,,36.244.218.120,Email is null or empty
,,,94.209.104.236,Email is null or empty
,,,148.135.46.92,Email is null or empty
,,,62.20.75.248,Email is null or empty
,,,255.65.237.25,Email is null or empty
,,,177.234.121.100,Email is null or empty
,,,17.236.53.237,Email is null or empty
,,,8.120.179.119,Email is null or empty
,,,2.39.78.247,Email is null or empty
,,,179.138.186.85,Email is null or empty
,,,237.124.239.234,Email is null or empty
,,,208.14.207.177,Email is null or empty
,,,148.227.191.159,Email is null or empty
,,,125.48.16.223,Email is null or empty
,,,25.90.78.152,Email is null or empty
,,,177.159.69.186,Email is null or empty
,,,178.104.103.251,Email is null or empty
,,,17.196.13.145,Email is null or empty
,,,4.148.234.192,Email is null or empty
,,,211.173.76.245,Email is null or empty
,,,7.138.237.114,Email is null or empty
,,,73.183.191.203,Email is null or empty
,,,26.246.142.210,Email is null or empty
,,,8.217.244.211,Email is null or empty
,,,143.102.202.136,Email is null or empty
,,,230.247.242.79,Email is null or empty
,,,188.170.227.100,Email is null or empty
,,,66.243.135.253,Email is null or empty
,,,13.111.26.109,Email is null or empty
,,,138.213.124.177,Email is null or empty
,,,30.154.156.182,Email is null or empty
,,,186.4.202.35,Email is null or empty
,,,123.92.116.91,Email is null or empty
,,,64.162.136.128,Email is null or empty
,,,12.67.212.66,Email is null or empty
,,,27.253.29.97,Email is null or empty
,,,94.148.182.38,Email is null or empty
,,,72.156.17.196,Email is null or empty
,,,7.163.226.168,Email is null or empty
,,,140.242.58.43,Email is null or empty
,,,123456,Email is null or empty
,,,220100220,Email is null or empty
,,,34223.54354,Email is null or empty
,,,323123121,Email is null or empty
